CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
931cd589197c;airflow-redis-1;0.11%;13.61MiB / 7.463GiB;0.18%;964kB / 816kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.05%;853MiB / 7.463GiB;11.16%; 2.45GB / 2.76GB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;1.86%;276.1MiB / 7.463GiB;3.61%;37.3MB / 37.8MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.10%;1.076GiB / 7.463GiB;14.42%; 13.2MB / 7.29MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.85%;225.6MiB / 7.463GiB;2.95%;5.59MB / 7.12MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.08%;207.8MiB / 7.463GiB;2.72%;1.55MB / 2.43GB;0B / 0B;21
be91543aa019;airflow-db_kap-1;1.32%;428.8MiB / 7.463GiB;5.61%;2.76GB / 19.6MB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;0.85%;83.66MiB / 7.463GiB;1.09%;51.5MB / 57MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.11%;13.61MiB / 7.463GiB;0.18%;964kB / 816kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.18%;853MiB / 7.463GiB;11.16%; 2.45GB / 2.76GB;0B / 0B;21
bc99e134b647;airflow-airflow-scheduler-1;1.57%;276.2MiB / 7.463GiB;3.61%;37.3MB / 37.8MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;0.18%;1.076GiB / 7.463GiB;14.42%; 13.2MB / 7.29MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.95%;225.6MiB / 7.463GiB;2.95%;5.59MB / 7.13MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.12%;207.8MiB / 7.463GiB;2.72%;1.55MB / 2.43GB;0B / 0B;21
be91543aa019;airflow-db_kap-1;3.78%;431.5MiB / 7.463GiB;5.65%;2.76GB / 19.6MB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;0.72%;83.66MiB / 7.463GiB;1.09%;51.5MB / 57MB;0B / 0B;25
931cd589197c;airflow-redis-1;0.12%;13.73MiB / 7.463GiB;0.18%;965kB / 817kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;0.18%;853MiB / 7.463GiB;11.16%; 2.45GB / 2.76GB;0B / 0B;21
