CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;67.98%;1.693GiB / 7.463GiB;22.68%;11.3MB / 9.4MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;2.88%;294.8MiB / 7.463GiB;3.86%;5.13MB / 5.27MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;2.71%;1.098GiB / 7.463GiB;14.71%;2.64MB / 1.55MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.80%;174.2MiB / 7.463GiB;2.28%;885kB / 1.13MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.91%;125.5MiB / 7.463GiB;1.64%;27kB / 11MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;21.74%;30.16MiB / 7.463GiB;0.39%;9.14MB / 66.4kB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;2.11%;59.91MiB / 7.463GiB;0.78%;8.32MB / 9.37MB;0B / 0B;23
931cd589197c;airflow-redis-1;0.14%;9.102MiB / 7.463GiB;0.12%;155kB / 128kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;67.88%;1.692GiB / 7.463GiB;22.67%;16.9MB / 14.9MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;2.56%;294.5MiB / 7.463GiB;3.85%;5.15MB / 5.29MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;20.70%;1.104GiB / 7.463GiB;14.79%;2.66MB / 1.59MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.91%;174.2MiB / 7.463GiB;2.28%;890kB / 1.13MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.93%;127.6MiB / 7.463GiB;1.67%;29.8kB / 16.6MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;22.57%;36.8MiB / 7.463GiB;0.48%;14.7MB / 106kB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;1.82%;59.91MiB / 7.463GiB;0.78%;8.35MB / 9.41MB;0B / 0B;23
931cd589197c;airflow-redis-1;0.12%;9.098MiB / 7.463GiB;0.12%;156kB / 128kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;67.88%;1.692GiB / 7.463GiB;22.67%;16.9MB / 14.9MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;2.56%;294.5MiB / 7.463GiB;3.85%;5.15MB / 5.29MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;20.70%;1.104GiB / 7.463GiB;14.79%;2.66MB / 1.59MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;0.91%;174.2MiB / 7.463GiB;2.28%;890kB / 1.13MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.93%;127.6MiB / 7.463GiB;1.67%;29.8kB / 16.6MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;22.57%;36.8MiB / 7.463GiB;0.48%;14.7MB / 106kB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;1.82%;59.91MiB / 7.463GiB;0.78%;8.35MB / 9.41MB;0B / 0B;23
931cd589197c;airflow-redis-1;0.12%;9.098MiB / 7.463GiB;0.12%;156kB / 128kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;69.87%;1.698GiB / 7.463GiB;22.75%;22.4MB / 19.7MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;3.94%;294.5MiB / 7.463GiB;3.85%;5.17MB / 5.31MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;54.29%;1.104GiB / 7.463GiB;14.80%;3.06MB / 1.72MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;1.08%;174.2MiB / 7.463GiB;2.28%;895kB / 1.14MB;0B / 0B;7
7f1a097997c1;airflow-minio-1;0.97%;127.6MiB / 7.463GiB;1.67%;33.4kB / 22.1MB;0B / 0B;21
be91543aa019;airflow-db_kap-1;22.54%;42.05MiB / 7.463GiB;0.55%;19.4MB / 140kB;0B / 0B;8
8a393fb6dae8;airflow-postgres-1;12.66%;59.93MiB / 7.463GiB;0.78%;8.48MB / 9.8MB;0B / 0B;23
931cd589197c;airflow-redis-1;0.16%;9.223MiB / 7.463GiB;0.12%;157kB / 129kB;0B / 0B;6
CONTAINER ID;NAME;CPU %;MEM USAGE/LIMIT;MEM %;NET I/O;BLOCK I/O;PIDS
7306c026409c;airflow-airflow-worker-1;69.87%;1.698GiB / 7.463GiB;22.75%;22.4MB / 19.7MB;0B / 0B;26
bc99e134b647;airflow-airflow-scheduler-1;3.94%;294.5MiB / 7.463GiB;3.85%;5.17MB / 5.31MB;0B / 0B;4
ab0ed3240741;airflow-airflow-webserver-1;54.29%;1.104GiB / 7.463GiB;14.80%;3.06MB / 1.72MB;0B / 0B;9
432fe0e596ed;airflow-airflow-triggerer-1;1.08%;174.2MiB / 7.463GiB;2.28%;895kB / 1.14MB;0B / 0B;7
